萬	万 萬
與	与 與
兩	両 兩
竝	並 竝
乘	乗 乘
亂	乱 亂
龜	亀 龜
豫	予 豫
爭	争 爭
亙	亘 亙
亞	亜 亞
佛	仏 佛
假	仮 假
會	会 會
傳	伝 傳
體	体 體
餘	余 餘
俠	侠 俠
價	価 價
儘	侭 儘
值	値 值
俱	倶 俱
儉	倹 儉
僞	偽 僞
僭	僣 僭
兒	児 兒
黨	党 黨
內	内 內
圓	円 圓
寫	写 寫
處	処 處
剎	刹 剎
劍	剣 劍
劑	剤 劑
剩	剰 剩
勵	励 勵
勞	労 勞
效	効 效
敕	勅 敕
勸	勧 勸
勳	勲 勳
勻	匀 勻
區	区 區
醫	医 醫
單	単 單
卻	却 卻
卿	卿 卿
廁	厠 廁
嚴	厳 嚴
參	参 參
雙	双 雙
收	収 收
敘	叙 敘
臺	台 臺
颱	台 颱
號	号 號
吳	呉 吳
吞	呑 吞
咒	呪 咒
脣	唇 脣
啞	唖 啞
啟	啓 啟
營	営 營
噓	嘘 噓
囑	嘱 囑
嚙	噛 嚙
囊	嚢 囊
團	団 團
圍	囲 圍
圖	図 圖
國	国 國
圈	圏 圈
壓	圧 壓
墮	堕 墮
壘	塁 壘
鹽	塩 鹽
增	増 增
壞	壊 壞
壤	壌 壤
壯	壮 壯
聲	声 聲
壹	壱 壹
賣	売 賣
壺	壺 壷
變	変 變
奧	奥 奧
奬	奨 奬
姸	妍 姸
嬀	媯 嬀
孃	嬢 孃
學	学 學
寶	宝 寶
實	実 實
寬	寛 寬
寢	寝 寢
對	対 對
壽	寿 壽
專	専 專
將	将 將
盡	尽 盡
屆	届 屆
屛	屏 屛
屬	属 屬
屢	屡 屢
嶽	岳 嶽
峽	峡 峽
峯	峰 峯
巖	巌 巖
巢	巣 巢
卷	巻 卷
巽	巽 巽
帶	帯 帶
歸	帰 歸
幷	并 幷
么	幺 么
廳	庁 廳
廣	広 廣
牀	床 牀
廢	廃 廢
辯	弁 辯
辨	弁 辨
瓣	弁 瓣
辮	弁 辮
辦	弁 辦
貳	弐 貳
彌	弥 彌
彎	弯 彎
强	強 强
彈	弾 彈
當	当 當
彥	彦 彥
徑	径 徑
從	従 從
禦	御 禦
德	徳 德
徵	徴 徵
應	応 應
悴	忰 悴
戀	恋 戀
恆	恒 恆
惠	恵 惠
悅	悦 悅
惱	悩 惱
惡	悪 惡
慘	惨 慘
懷	懐 懷
戰	戦 戰
戲	戯 戲
戶	戸 戶
戾	戻 戾
拂	払 拂
拔	抜 拔
擇	択 擇
擡	抬 擡
擔	担 擔
拜	拝 拜
據	拠 據
擴	拡 擴
舉	挙 舉
挾	挟 挾
插	挿 插
搜	捜 搜
揭	掲 揭
摑	掴 摑
搔	掻 搔
搖	揺 搖
攜	携 攜
攝	摂 攝
擊	撃 擊
攪	撹 攪
攢	攅 攢
數	数 數
齊	斉 齊
齋	斎 齋
斷	断 斷
舊	旧 舊
晝	昼 晝
曠	昿 曠
晉	晋 晉
晚	晩 晚
曉	暁 曉
曆	暦 曆
曁	暨 曁
曾	曽 曾
條	条 條
來	来 來
樞	枢 樞
櫨	枦 櫨
查	査 查
榮	栄 榮
覈	核 蔿
櫻	桜 櫻
枡	桝 枡
棧	桟 棧
檔	档 檔
檜	桧 檜
檮	梼 檮
檢	検 檢
槶	椢 槶
樓	楼 樓
樂	楽 樂
楡	榆 楡
樣	様 樣
槇	槙 槇
櫳	槞 櫳
權	権 權
橫	横 橫
簷	檐 檐
櫟	檪 櫟
缺	欠 缺
歐	欧 歐
歡	歓 歡
步	歩 步
齒	歯 齒
歲	歳 歲
歷	歴 歷
殘	残 殘
毆	殴 毆
殼	殻 殼
每	毎 每
氣	気 氣
冰	氷 冰
汙	汚 汙
污	汚 污
沒	没 沒
澤	沢 澤
濾	沪 濾
淨	浄 淨
淺	浅 淺
濱	浜 濱
淚	涙 淚
濤	涛 濤
瀆	涜 瀆
淵	淵 渊
渴	渇 渴
濟	済 濟
涉	渉 涉
澀	渋 澀
澁	渋 澁
溪	渓 溪
渚	渚 渚
溫	温 溫
灣	湾 灣
溼	湿 溼
滿	満 滿
潙	溈 潙
潑	溌 潑
瀧	滝 瀧
滯	滞 滯
灌	潅 灌
潛	潜 潛
潀	潨 潀
瀨	瀬 瀨
燈	灯 燈
爐	炉 爐
點	点 點
爲	為 爲
焰	焔 焰
燒	焼 燒
菸	煙 菸
爨	爨 爨
犧	犠 犧
狀	状 狀
獨	独 獨
狹	狭 狹
獵	猟 獵
貓	猫 貓
獻	献 獻
獸	獣 獸
瓔	珱 瓔
琢	琢 琢
產	産 產
畫	画 畫
畵	画 畵
疊	畳 疊
疇	畴 疇
疎	疏 疎
瘦	痩 瘦
癡	痴 癡
痹	痺 痹
發	発 發
皂	皁 潙
皐	皋 皐
皋	皐 皋
盜	盗 盜
縣	県 縣
眞	真 眞
著	着 著
睪	睾 睪
碎	砕 碎
礪	砺 礪
礦	砿 礦
禮	礼 禮
禰	祢 禰
禱	祷 禱
祿	禄 祿
禪	禅 禪
祕	秘 祕
稱	称 稱
稅	税 稅
棱	稜 棱
稻	稲 稻
穗	穂 穗
穩	穏 穩
穰	穣 穰
竊	窃 竊
窗	窓 窗
灶	竃 灶
竈	竃 竈
龍	竜 龍
箏	筝 箏
筵	筵 筵
簞	箪 簞
粹	粋 粹
肅	粛 肅
粵	粤 粵
妝	粧 妝
糉	粽 糉
絲	糸 絲
經	経 經
繪	絵 繪
絕	絶 絕
繼	継 繼
續	続 續
總	総 總
綠	緑 綠
緖	緒 緖
纃	緕 纃
緣	縁 緣
繩	縄 繩
縱	縦 縱
纖	繊 纖
繫	繋 繫
繡	繍 繡
罐	缶 罐
羣	群 羣
聰	聡 聰
聽	聴 聽
冑	胄 冑
膽	胆 膽
腳	脚 腳
脫	脱 脫
腦	脳 腦
腱	腱 腱
臟	臓 臟
舍	舎 舍
鋪	舗 鋪
艫	舮 艫
蘆	芦 蘆
藝	芸 藝
莖	茎 莖
荔	茘 荔
莊	荘 莊
